run_id,output_csv,year_min,year_max,total_launches,total_launches_int,total_payload_capacity_ton,avg_prop_ratio_mode1,avg_prop_ratio_mode2,avg_prop_ratio_mode3,avg_dv_surface_to_moon_kmps,avg_dv_geo_to_moon_kmps,extrapolated_launch_ratio
01,l18_outputs\run_01_combined.csv,2025,2150,1926267.422265,1926273,2098320628.287568,5.43136382,125.69416602,245.95696821,14.513579,4.693000,0.901879
02,l18_outputs\run_02_combined.csv,2025,2150,1926267.422265,1926273,13702638275.981747,5.77370707,111.28229476,216.79088245,14.513579,4.693000,0.901879
03,l18_outputs\run_03_combined.csv,2025,2150,1926267.422265,1926273,202286548309.746979,6.10052922,104.89251034,203.68449145,14.513579,4.693000,0.901879
04,l18_outputs\run_04_combined.csv,2025,2150,1926267.422265,1926273,202286548309.746979,5.42644720,138.20752513,270.98860307,14.513579,4.693000,0.901879
05,l18_outputs\run_05_combined.csv,2025,2150,1926267.422265,1926273,2098320628.287568,5.76931058,130.18746245,254.60561431,14.513579,4.693000,0.901879
06,l18_outputs\run_06_combined.csv,2025,2150,1926267.422265,1926273,13702638275.981747,6.11515576,156.78068301,307.44621027,14.513579,4.693000,0.901879
07,l18_outputs\run_07_combined.csv,2025,2150,1926267.422265,1926273,168572123591.547363,5.30776574,171.25145378,337.19514183,14.513579,4.693000,0.901879
08,l18_outputs\run_08_combined.csv,2025,2150,1926267.422265,1926273,3147480942.322053,5.66218126,152.38450933,299.10683740,14.513579,4.693000,0.901879
09,l18_outputs\run_09_combined.csv,2025,2150,1926267.422265,1926273,10962110620.828535,6.37017715,143.59384793,280.81751870,14.513579,4.693000,0.901879
10,l18_outputs\run_10_combined.csv,2025,2150,1926267.422265,1926273,2622900785.364558,5.20161511,62.94063930,120.67966349,14.513579,4.693000,0.901879
11,l18_outputs\run_11_combined.csv,2025,2150,1926267.422265,1926273,16443165931.086557,5.89488525,69.12300931,132.35113336,14.513579,4.693000,0.901879
12,l18_outputs\run_12_combined.csv,2025,2150,1926267.422265,1926273,134857698873.000946,6.24300842,66.48462728,126.72624614,14.513579,4.693000,0.901879
13,l18_outputs\run_13_combined.csv,2025,2150,1926267.422265,1926273,10962110620.828535,5.31811828,81.86296298,158.40780767,14.513579,4.693000,0.901879
14,l18_outputs\run_14_combined.csv,2025,2150,1926267.422265,1926273,168572123591.547363,5.65392947,78.25175441,150.84957936,14.513579,4.693000,0.901879
15,l18_outputs\run_15_combined.csv,2025,2150,1926267.422265,1926273,3147480942.322053,6.36647607,85.90269639,165.43891670,14.513579,4.693000,0.901879
16,l18_outputs\run_16_combined.csv,2025,2150,1926267.422265,1926273,10962110620.828535,5.19674712,85.39383331,165.59091950,14.513579,4.693000,0.901879
17,l18_outputs\run_17_combined.csv,2025,2150,1926267.422265,1926273,168572123591.547363,5.90365632,94.24554872,182.58744112,14.513579,4.693000,0.901879
18,l18_outputs\run_18_combined.csv,2025,2150,1926267.422265,1926273,3147480942.322053,6.23560364,90.01282285,173.79004207,14.513579,4.693000,0.901879
