run_id,A_level,B_level,C_level,D_level,E_level,F_level,G_level,H_surface_isp,k_heavy,k_shuttle,isp_vmax_s,isp_slmax_s,k_I,x_2050_ton,g_r,output_csv,config_json
01,L1,L1,L1,L1,L1,L1,L1,SL,0.600000,0.150000,395.000000,340.000000,0.040000,100.000000,0.030000,l18_outputs\run_01_combined.csv,l18_outputs\run_01_params.json
02,L1,L2,L2,L2,L2,L2,L2,SL,0.600000,0.250000,400.000000,350.000000,0.050000,125.000000,0.050000,l18_outputs\run_02_combined.csv,l18_outputs\run_02_params.json
03,L1,L3,L3,L3,L3,L3,L3,SL,0.600000,0.350000,405.000000,355.000000,0.070000,150.000000,0.080000,l18_outputs\run_03_combined.csv,l18_outputs\run_03_params.json
04,L2,L1,L1,L2,L2,L3,L3,SL,1.000000,0.150000,395.000000,350.000000,0.050000,150.000000,0.080000,l18_outputs\run_04_combined.csv,l18_outputs\run_04_params.json
05,L2,L2,L2,L3,L3,L1,L1,SL,1.000000,0.250000,400.000000,355.000000,0.070000,100.000000,0.030000,l18_outputs\run_05_combined.csv,l18_outputs\run_05_params.json
06,L2,L3,L3,L1,L1,L2,L2,SL,1.000000,0.350000,405.000000,340.000000,0.040000,125.000000,0.050000,l18_outputs\run_06_combined.csv,l18_outputs\run_06_params.json
07,L3,L1,L2,L1,L3,L2,L3,SL,1.200000,0.150000,400.000000,340.000000,0.070000,125.000000,0.080000,l18_outputs\run_07_combined.csv,l18_outputs\run_07_params.json
08,L3,L2,L3,L2,L1,L3,L1,SL,1.200000,0.250000,405.000000,350.000000,0.040000,150.000000,0.030000,l18_outputs\run_08_combined.csv,l18_outputs\run_08_params.json
09,L3,L3,L1,L3,L2,L1,L2,SL,1.200000,0.350000,395.000000,355.000000,0.050000,100.000000,0.050000,l18_outputs\run_09_combined.csv,l18_outputs\run_09_params.json
10,L1,L1,L3,L3,L2,L2,L1,V,0.600000,0.150000,405.000000,355.000000,0.050000,125.000000,0.030000,l18_outputs\run_10_combined.csv,l18_outputs\run_10_params.json
11,L1,L2,L1,L1,L3,L3,L2,V,0.600000,0.250000,395.000000,340.000000,0.070000,150.000000,0.050000,l18_outputs\run_11_combined.csv,l18_outputs\run_11_params.json
12,L1,L3,L2,L2,L1,L1,L3,V,0.600000,0.350000,400.000000,350.000000,0.040000,100.000000,0.080000,l18_outputs\run_12_combined.csv,l18_outputs\run_12_params.json
13,L2,L1,L2,L3,L1,L1,L2,V,1.000000,0.150000,400.000000,355.000000,0.040000,100.000000,0.050000,l18_outputs\run_13_combined.csv,l18_outputs\run_13_params.json
14,L2,L2,L3,L1,L2,L2,L3,V,1.000000,0.250000,405.000000,340.000000,0.050000,125.000000,0.080000,l18_outputs\run_14_combined.csv,l18_outputs\run_14_params.json
15,L2,L3,L1,L2,L3,L3,L1,V,1.000000,0.350000,395.000000,350.000000,0.070000,150.000000,0.030000,l18_outputs\run_15_combined.csv,l18_outputs\run_15_params.json
16,L3,L1,L3,L2,L3,L1,L2,V,1.200000,0.150000,405.000000,350.000000,0.070000,100.000000,0.050000,l18_outputs\run_16_combined.csv,l18_outputs\run_16_params.json
17,L3,L2,L1,L3,L1,L2,L3,V,1.200000,0.250000,395.000000,355.000000,0.040000,125.000000,0.080000,l18_outputs\run_17_combined.csv,l18_outputs\run_17_params.json
18,L3,L3,L2,L1,L2,L3,L1,V,1.200000,0.350000,400.000000,340.000000,0.050000,150.000000,0.030000,l18_outputs\run_18_combined.csv,l18_outputs\run_18_params.json
